subclase_id,label_producto,venta_mensual,precio_cat,año,precio_mensual,volumen_mensual,venta_costo_mensual,year,costo_prov,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,costo_venta_ratio,label_tienda_7.0
1153.0,1.0,2074.22,39.9,2016.0,50.590731707317,41.0,1394.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6720598586456596,False
1153.0,1.0,3339.35,39.9,2016.0,50.5962121212121,66.0,2244.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6719870633506521,False
1153.0,1.0,7087.57,39.9,2016.0,50.6255,140.0,4760.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.671598305201924,False
1153.0,1.0,4303.37,39.9,2016.0,50.6278823529411,85.0,2890.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6715667023751153,False
1153.0,1.0,6480.78,39.9,2016.0,50.63109375,128.0,4352.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6715241066661729,False
1153.0,1.0,2786.77,39.9,2016.0,50.6685454545454,55.0,1870.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.671027748971031,False
1153.0,1.0,5119.28,39.9,2016.0,50.6859405940594,101.0,3434.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6707974558922348,False
1153.0,1.0,6690.93,39.9,2016.0,50.6888636363636,132.0,4488.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6707587734440503,False
1153.0,1.0,3041.61,39.9,2016.0,50.6935,60.0,2040.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6706974266917849,False
1153.0,1.0,4513.37,59.9,2016.0,50.7120224719101,89.0,3026.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.670452455703831,False
1153.0,1.0,4868.81,39.9,2016.0,50.7167708333333,96.0,3264.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6703896845430403,False
1153.0,1.0,5073.7,39.9,2016.0,50.737,100.0,3400.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6701223958846602,False
1153.0,1.0,2487.34,39.9,2016.0,50.7620408163265,49.0,1666.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6697918258058809,False
1153.0,1.0,7159.1,39.9,2016.0,50.7737588652482,141.0,4794.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6696372449050858,False
1153.0,1.0,7880.06,59.9,2016.0,50.8390967741935,155.0,5270.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6687766336804541,False
1153.0,1.0,4831.77,59.9,2016.0,50.8607368421052,95.0,3230.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.668492084681183,False
1153.0,1.0,6307.0,39.9,2016.0,50.8629032258064,124.0,4216.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6684636118598383,False
1153.0,1.0,5749.29,39.9,2016.0,50.8786725663716,113.0,3842.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6682564281850455,False
1153.0,1.0,3104.7,39.9,2016.0,50.8967213114754,61.0,2074.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.668019454375624,False
1153.0,1.0,2952.1,39.9,2016.0,50.8982758620689,58.0,1972.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6679990515226449,False
1153.0,1.0,28915.1,39.9,2016.0,50.906866197183,568.0,19312.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6678863292881574,False
1153.0,1.0,3003.73,39.9,2016.0,50.9106779661016,59.0,2006.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6678363235044428,False
1153.0,1.0,50200.68,39.9,2016.0,50.9134685598377,986.0,33524.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6677997190476305,False
1153.0,1.0,3210.3,39.9,2016.0,50.9571428571428,63.0,2142.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6672273619287916,False
1153.0,1.0,3465.35,39.9,2016.0,50.9610294117647,68.0,2312.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6671764756806672,False
1153.0,1.0,3008.0,39.9,2016.0,50.9830508474576,59.0,2006.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6668882978723404,False
1153.0,1.0,3773.15,39.9,2016.0,50.9885135135135,74.0,2516.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6668168506420364,False
1153.0,1.0,4079.57,59.9,2016.0,50.994625,80.0,2720.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6667369355103602,False
1153.0,1.0,5458.37,39.9,2016.0,51.0128037383177,107.0,3638.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6664993395464214,False
1153.0,1.0,4999.65,59.9,2016.0,51.0168367346938,98.0,3332.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6664466512655887,False
1153.0,1.0,7347.54,39.9,2016.0,51.0245833333333,144.0,4896.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6663454707289787,False
1153.0,1.0,6074.48,39.9,2016.0,51.046050420168,119.0,4046.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6660652434447064,False
1153.0,1.0,3726.69,39.9,2016.0,51.0505479452054,73.0,2482.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6660065634651662,False
1153.0,1.0,3574.38,59.9,2016.0,51.0625714285714,70.0,2380.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6658497417733984,False
1153.0,1.0,2298.02,39.9,2016.0,51.0671111111111,45.0,1530.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6657905501257605,False
1153.0,1.0,4291.34,39.9,2016.0,51.0873809523809,84.0,2856.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6655263856977075,False
1153.0,1.0,3321.65,39.9,2016.0,51.1023076923076,65.0,2210.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6653319886201134,False
1153.0,1.0,4139.81,39.9,2016.0,51.1087654320987,81.0,2754.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6652479220060823,False
1153.0,1.0,4243.09,39.9,2016.0,51.1215662650602,83.0,2822.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6650813440205133,False
1153.0,1.0,2300.48,59.9,2016.0,51.1217777777777,45.0,1530.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6650785922937822,False
1153.0,1.0,2812.38,59.9,2016.0,51.1341818181818,55.0,1870.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6649172586919264,False
1153.0,1.0,3170.73,39.9,2016.0,51.1408064516129,62.0,2108.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6648311272167609,False
1153.0,1.0,3222.32,39.9,2016.0,51.1479365079365,63.0,2142.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6647384493160208,False
1153.0,1.0,32229.43,49.9,2016.0,51.1578253968253,630.0,38430.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1923884474531508,False
1153.0,1.0,2251.5,59.9,2016.0,51.1704545454545,44.0,1496.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6644459249389296,False
1153.0,1.0,5990.44,59.9,2016.0,51.2003418803418,117.0,3978.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6640580658515902,False
1153.0,1.0,2406.42,59.9,2016.0,51.2004255319148,47.0,1598.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6640569809094007,False
1153.0,1.0,3790.37,59.9,2016.0,51.2212162162162,74.0,2516.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6637874402762791,False
1153.0,1.0,2561.34,59.9,2016.0,51.2268,50.0,1700.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6637150866343398,False
1153.0,1.0,3842.01,59.9,2016.0,51.2268,75.0,2550.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6637150866343398,False
1153.0,1.0,3434.11,39.9,2016.0,51.2553731343283,67.0,2278.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6633450879558314,False
1153.0,1.0,3280.59,59.9,2016.0,51.25921875,64.0,2176.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6632953218780768,False
1153.0,1.0,4203.48,59.9,2016.0,51.2619512195121,82.0,2788.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6632599655523519,False
1153.0,1.0,3077.74,59.9,2016.0,51.2956666666666,60.0,2040.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.662824020222631,False
1153.0,1.0,1642.14,59.9,2016.0,51.316875,32.0,1088.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6625500870814912,False
1153.0,1.0,3335.94,59.9,2016.0,51.3221538461538,65.0,2210.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6624819391236053,False
1153.0,1.0,6468.75,39.9,2016.0,51.3392857142857,126.0,4284.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6622608695652173,False
1153.0,1.0,6007.87,59.9,2016.0,51.3493162393162,117.0,3978.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6621315041770212,False
1153.0,1.0,3801.19,59.9,2016.0,51.3674324324324,74.0,2516.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6618979845785136,False
1153.0,1.0,2003.63,59.9,2016.0,51.3751282051282,39.0,1326.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6617988351142675,False
